,First Name,Last Name,University of Ph.D.,University of Ph.D. ID,Department of Ph.D.,Year of Ph.D.,School of Faculty Position,Current School ID,Department of Faculty Position,Year Faculty Started,Job Title,
1,Janine,Barchas,University of Chicago,122,Unspecified,1995,University of Texas at Austin,49,English,Unspecified,Professor,
2,Phillip,Barrish,Cornell University,245,Unspecified,1991,University of Texas at Austin,49,English,Unspecified,Tony Hilfer Professor of American and British Literature,
3,Lance,Bertelsen,University of Washington,24,Unspecified,1979,University of Texas at Austin,49,English,Unspecified,Professor,
4,Mary,Blockley,Yale University,21,Unspecified,1984,University of Texas at Austin,49,English,Unspecified,Professor,
5,Douglas,Bruster,Harvard University,22,Unspecified,1990,University of Texas at Austin,49,English,Unspecified,"Mody C. Boatright Regents Professor of American and English Literature, Distinguished Teaching Professor",
6,Jerome,Bump,University of California at Berkeley,1,Unspecified,Unspecified,University of Texas at Austin,49,English,Unspecified,Professor,
7,Evan,Carton,Johns Hopkins University,244,Unspecified,1979,University of Texas at Austin,49,English,Unspecified,Professor,
8,Larry,Carver,University of Rochester,96,Unspecified,1973,University of Texas at Austin,49,English,Unspecified,"Director, Liberal Arts Honors Program",
9,Davida,Charney,Carnegie-Mellon University,261,Unspecified,Unspecified,University of Texas at Austin,49,English,Unspecified,Faculty,
10,James,Cox,University of Nebraska at Lincoln,135,Unspecified,Unspecified,University of Texas at Austin,49,English,Unspecified,Professor,
11,Elizabeth,Cullingford,Oxford University,390,Unspecified,Unspecified,University of Texas at Austin,49,English,Unspecified,"University Distinguished Teaching Professor, Chair of the English Department",
12,Ann,Cvetkovich,Cornell University,245,Unspecified,1988,University of Texas at Austin,49,English,Unspecified,Professor,
13,Lester,Faigley,University of Washington,24,Unspecified,1976,University of Texas at Austin,49,English,Unspecified,Robert Adger Law and Thos. H. Law Professor in Humanities,
14,Alan,Friedman,University of Rochester,96,Unspecified,1966,University of Texas at Austin,49,English,Unspecified,Professor,
15,Don,Graham,University of Texas at Austin,49,Unspecified,1971,University of Texas at Austin,49,English,Unspecified,Professor,
16,Ian,Hancock,London University,387,Unspecified,Unspecified,University of Texas at Austin,49,English,Unspecified,Professor,
17,Barbara,Harlow,SUNY- Buffalo,84,Unspecified,1977,University of Texas at Austin,49,English,Unspecified,Professor,
18,Kurt,Heinzelman,University of Massachusettes,401,Unspecified,1978,University of Texas at Austin,49,English,Unspecified,Professor,
19,Ernest,Kaulbach,Cornell University,245,Unspecified,1970,University of Texas at Austin,49,English,Unspecified,University Distinguished Teaching Professor,
20,Martin,Kevorkian,University of California Los Angeles,2,Unspecified,2000,University of Texas at Austin,49,English,Unspecified,Professor,
21,James,Loehlin,Stanford University,232,Unspecified,1993,University of Texas at Austin,49,English,Unspecified,Shakespeare at Winedale Regents Professor, University Distinguished Teaching Professor
22,Carol,MacKay,University of California Los Angeles,2,Unspecified,1979,University of Texas at Austin,49,English,Unspecified,University Distinguished Teaching Professor,
23,Lisa,Moore,Cornell University,245,Unspecified,1991,University of Texas at Austin,49,English,Unspecified,Professor,
24,Gretchen,Murphy,University of Washington,24,Unspecified,1999,University of Texas at Austin,49,English,Unspecified,Professor,
25,Wayne,Rebhorn,Yale University,21,Unspecified,1968,University of Texas at Austin,49,English,Unspecified,Professor,
26,Patricia,Roberts-Miller,University of California at Berkeley,1,Rhetoric,1987,University of Texas at Austin,49,English,Unspecified,Professor,
27,John,Rumrich,University of Virginia,57,Unspecified,1981,University of Texas at Austin,49,English,Unspecified,Professor,
28,John,Ruszkiewicz,The Ohio State University,172,Unspecified,1977,University of Texas at Austin,49,English,Unspecified,"Professor, Department of Rhetoric and Writing",
29,Elizabeth,Scala,Harvard University,22,Unspecified,1994,University of Texas at Austin,49,English,Unspecified,"Professor, Interim Associate Chair, Director of Medieval Studies",
30,Clay,Spinuzzi,Iowa State University,212,Unspecified,1999,University of Texas at Austin,49,English,Unspecified,Professor,
31,Jeffrey,Walker,University of California at Berkeley,1,Unspecified,1985,University of Texas at Austin,49,English,Unspecified,"Professor & Chair, Department of Rhetoric & Writing",
32,Frank,Whigham,University of California at San Diego,9,Unspecified,1976,University of Texas at Austin,49,English,Unspecified,Professor,
33,Hannah,Wojciehowski,Yale University,21,Unspecified,1984,University of Texas at Austin,49,English,Unspecified,Professor,
34,Marjorie,Curry Woods,U. of Toronto,45,Unspecified,Unspecified,University of Texas at Austin,49,English,Unspecified,Blumberg Centennial Professor of English and University Distinguished Teaching Professor,
35,Michael,Adams,The University of Texas at Austin,49,Unspecified,1973,University of Texas at Austin,49,English,Unspecified,"Associate Professor, University Distinguished Teaching Associate Professor",
36,Samuel,Baker,University of Chicago,122,Unspecified,2001,University of Texas at Austin,49,English,Unspecified,Associate Professor,
37,J,Barret,Princeton University,181,Unspecified,2008,University of Texas at Austin,49,English,Unspecified,Associate Professor,
38,Daniel,Birkholz,University of Minnesota,397,Unspecified,1999,University of Texas at Austin,49,English,Unspecified,Associate Professor,
39,Brian,Bremen,Princeton University,181,Unspecified,1989,University of Texas at Austin,49,English,Unspecified,Associate Professor,
40,Mia,Carter,University of Wisconsin-Milwaukee,17,English and Modern Studies,1992,University of Texas at Austin,49,English,Unspecified,"Associate Professor, University Distinguished Teaching Associate Professor ",
41,Matt,Cohen,College of William and Mary,359,Unspecified,2002,University of Texas at Austin,49,English,Unspecified,Associate Professor,
42,Rasha,Diab,University of Wisconsin-Madison,16,Composition and Rhetoric,2009,University of Texas at Austin,49,English,Unspecified,"Associate Professor, Department of Rhetoric and Writing",
43,John,Morán González,Stanford University,232,Unspecified,Unspecified,University of Texas at Austin,49,English,Unspecified,Associate Professor,
44,Elizabeth,Hedrick,Columbia University,246,Unspecified,1986,University of Texas at Austin,49,English,Unspecified,Associate Professor,
45,Susan,Heinzelman,University of Western Ontario,298,Unspecified,1977,University of Texas at Austin,49,English,Unspecified,"Associate Professor, Director of the Center for Women's & Gender Studies",
46,Geraldine,Heng,Cornell University,245,Unspecified,Unspecified,University of Texas at Austin,49,English,Unspecified,Associate Professor,
47,Jacqueline,Henkel,University of Minnesota,397,Unspecified,1985,University of Texas at Austin,49,English,Unspecified,Associate Professor,
48,Lars,Hinrichs,University of Freiburg,399,Unspecified,2006,University of Texas at Austin,49,English,Unspecified,Associate Professor,
49,Neville,Hoad,Columbia University,246,Unspecified,1998,University of Texas at Austin,49,English,Unspecified,Associate Professor,
50,Heather,Houser,Stanford University,232,Unspecified,2010,University of Texas at Austin,49,English,Unspecified,Associate Professor ,
51,Coleman,Hutchison,Northwestern University,235,Unspecified,2006,University of Texas at Austin,49,English,Unspecified,"Associate Professor, Associate Chair of the English Department",
52,Sara,Kimball,University of Pennsylvania,144,Unspecified,1983,University of Texas at Austin,49,English,Unspecified,Associate Professor,
53,David,Kornhaber,Columbia University,246,Unspecified,2009,University of Texas at Austin,49,English,Unspecified,"Associate Professor; Graduate Adviser, Program in Comparative Literature",
